,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
89,Perth,ICC Men's T20 World Cup,,2022-10-30,T20,1852,Shadab Khan,Pakistan,{'wickets': 6},20,2022/23,international,Netherlands,Pakistan,Netherlands,bat,Perth Stadium
90,Sydney,ICC Men's T20 World Cup,,2022-11-03,T20,1861,Shadab Khan,Pakistan,{'runs': 33},20,2022/23,international,Pakistan,South Africa,Pakistan,bat,Sydney Cricket Ground
91,Adelaide,ICC Men's T20 World Cup,,2022-11-06,T20,1872,Shaheen Shah Afridi,Pakistan,{'wickets': 5},20,2022/23,international,Bangladesh,Pakistan,Bangladesh,bat,Adelaide Oval
92,Sydney,ICC Men's T20 World Cup,Semi Final,2022-11-09,T20,1877,Mohammad Rizwan,Pakistan,{'wickets': 7},20,2022/23,international,New Zealand,Pakistan,New Zealand,bat,Sydney Cricket Ground
93,Melbourne,ICC Men's T20 World Cup,Final,2022-11-13,T20,1879,SM Curran,England,{'wickets': 5},20,2022/23,international,Pakistan,England,England,field,Melbourne Cricket Ground
94,Christchurch,New Zealand T20I Tri-Series,,2022-10-07,T20,1807,Mohammad Rizwan,Pakistan,{'runs': 21},20,2022/23,international,Pakistan,Bangladesh,Bangladesh,field,"Hagley Oval, Christchurch"
95,Christchurch,New Zealand T20I Tri-Series,,2022-10-08,T20,1809,Babar Azam,Pakistan,{'wickets': 6},20,2022/23,international,New Zealand,Pakistan,New Zealand,bat,"Hagley Oval, Christchurch"
96,Christchurch,New Zealand T20I Tri-Series,,2022-10-11,T20,1815,MG Bracewell,New Zealand,{'wickets': 9},20,2022/23,international,Pakistan,New Zealand,Pakistan,bat,"Hagley Oval, Christchurch"
97,Christchurch,New Zealand T20I Tri-Series,,2022-10-13,T20,1818,Mohammad Rizwan,Pakistan,{'wickets': 7},20,2022/23,international,Bangladesh,Pakistan,Bangladesh,bat,"Hagley Oval, Christchurch"
98,Christchurch,New Zealand T20I Tri-Series,Final,2022-10-14,T20,1819,Mohammad Nawaz,Pakistan,{'wickets': 5},20,2022/23,international,New Zealand,Pakistan,Pakistan,field,"Hagley Oval, Christchurch"
99,Karachi,England tour of Pakistan,,2022-09-20,T20,1789,L Wood,England,{'wickets': 6},20,2022,international,Pakistan,England,England,field,"National Stadium, Karachi"
100,Karachi,England tour of Pakistan,,2022-09-22,T20,1793,Babar Azam,Pakistan,{'wickets': 10},20,2022,international,England,Pakistan,England,bat,"National Stadium, Karachi"
101,Karachi,England tour of Pakistan,,2022-09-23,T20,1795,HC Brook,England,{'runs': 63},20,2022,international,England,Pakistan,Pakistan,field,"National Stadium, Karachi"
102,Karachi,England tour of Pakistan,,2022-09-25,T20,1798,Haris Rauf,Pakistan,{'runs': 3},20,2022,international,Pakistan,England,England,field,"National Stadium, Karachi"
