,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
197,Colombo,ICC World Twenty20,,2012-09-30,T20,282,V Kohli,India,{'wickets': 8},20,2012/13,international,India,Pakistan,Pakistan,bat,R Premadasa Stadium
198,Colombo,ICC World Twenty20,,2012-10-02,T20,285,Raza Hasan,Pakistan,{'runs': 32},20,2012/13,international,Australia,Pakistan,Australia,field,R Premadasa Stadium
199,Colombo,ICC World Twenty20,Semi Final,2012-10-04,T20,287,DPMD Jayawardene,Sri Lanka,{'runs': 16},20,2012/13,international,Sri Lanka,Pakistan,Sri Lanka,bat,R Premadasa Stadium
200,Mirpur,,,2011-11-29,T20,216,Mohammad Hafeez,Pakistan,{'runs': 50},20,2011/12,international,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium
201,Hambantota,Pakistan in Sri Lanka T20I Series,,2012-06-01,T20,244,NLTC Perera,Sri Lanka,{'runs': 37},20,2012,international,Sri Lanka,Pakistan,Sri Lanka,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
202,Hambantota,Pakistan in Sri Lanka T20I Series,,2012-06-03,T20,245,Shahid Afridi,Pakistan,{'runs': 23},20,2012,international,Sri Lanka,Pakistan,Pakistan,bat,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
203,Centurion,Pakistan in South Africa T20I Series,,2013-03-03,T20,306,Mohammad Hafeez,Pakistan,{'runs': 95},20,2012/13,international,South Africa,Pakistan,Pakistan,bat,SuperSport Park
204,,Pakistan v Australia T20I Series,,2012-09-05,T20,256,Mohammad Hafeez,Pakistan,{'wickets': 7},20,2012,international,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium
205,,Pakistan v Australia T20I Series,,2012-09-07,T20,257,Saeed Ajmal,no result,no result,20,2012,international,Australia,Pakistan,Pakistan,bat,Dubai International Cricket Stadium
206,,Pakistan v Australia T20I Series,,2012-09-10,T20,259,DA Warner,Australia,{'runs': 94},20,2012,international,Australia,Pakistan,Pakistan,field,Dubai International Cricket Stadium
207,Bangalore,Pakistan in India T20I Series,,2012-12-25,T20,296,Mohammad Hafeez,Pakistan,{'wickets': 5},20,2012/13,international,India,Pakistan,Pakistan,field,M Chinnaswamy Stadium
208,Ahmedabad,Pakistan in India T20I Series,,2012-12-28,T20,298,Yuvraj Singh,India,{'runs': 11},20,2012/13,international,India,Pakistan,Pakistan,field,"Sardar Patel Stadium, Motera"
209,St Vincent,Pakistan in West Indies T20I Series,,2013-07-27,T20,321,Shahid Afridi,Pakistan,{'wickets': 2},20,2013,international,West Indies,Pakistan,West Indies,bat,"Arnos Vale Ground, Kingstown"
210,St Vincent,Pakistan in West Indies T20I Series,,2013-07-28,T20,322,Umar Akmal,Pakistan,{'runs': 11},20,2013,international,West Indies,Pakistan,Pakistan,bat,"Arnos Vale Ground, Kingstown"
211,,Pakistan v South Africa T20I Series,,2013-11-13,T20,334,DW Steyn,South Africa,{'wickets': 9},20,2013/14,international,Pakistan,South Africa,Pakistan,bat,Dubai International Cricket Stadium
212,,Pakistan v South Africa T20I Series,,2013-11-15,T20,336,F du Plessis,South Africa,{'runs': 6},20,2013/14,international,Pakistan,South Africa,South Africa,bat,Dubai International Cricket Stadium
213,,Pakistan v Sri Lanka T20I Series,,2013-12-11,T20,350,Shahid Afridi,Pakistan,{'wickets': 3},20,2013/14,international,Pakistan,Sri Lanka,Pakistan,field,Dubai International Cricket Stadium
214,,Pakistan v Sri Lanka T20I Series,,2013-12-13,T20,351,MDKJ Perera,Sri Lanka,{'runs': 24},20,2013/14,international,Pakistan,Sri Lanka,Pakistan,field,Dubai International Cricket Stadium
215,,Pakistan in Zimbabwe T20I Series,,2013-08-23,T20,326,Ahmed Shehzad,Pakistan,{'runs': 25},20,2013,international,Zimbabwe,Pakistan,Zimbabwe,field,Harare Sports Club
216,,Pakistan in Zimbabwe T20I Series,,2013-08-24,T20,327,Ahmed Shehzad,Pakistan,{'runs': 19},20,2013,international,Zimbabwe,Pakistan,Zimbabwe,field,Harare Sports Club
217,Mirpur,World T20,,2014-03-21,T20,378,A Mishra,India,{'wickets': 7},20,2013/14,international,India,Pakistan,India,field,Shere Bangla National Stadium
218,Mirpur,World T20,,2014-03-23,T20,381,Umar Akmal,Pakistan,{'runs': 16},20,2013/14,international,Australia,Pakistan,Australia,field,Shere Bangla National Stadium
219,Mirpur,World T20,,2014-03-30,T20,392,Ahmed Shehzad,Pakistan,{'runs': 50},20,2013/14,international,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium
220,Mirpur,World T20,,2014-04-01,T20,397,DJ Bravo,West Indies,{'runs': 84},20,2013/14,international,Pakistan,West Indies,West Indies,bat,Shere Bangla National Stadium
221,Johannesburg,Pakistan in South Africa T20I Series,,2013-11-20,T20,340,Q de Kock,South Africa,{'runs': 4},20,2013/14,international,South Africa,Pakistan,Pakistan,field,New Wanderers Stadium
222,Cape Town,Pakistan in South Africa T20I Series,,2013-11-22,T20,343,Mohammad Hafeez,Pakistan,{'runs': 6},20,2013/14,international,South Africa,Pakistan,Pakistan,bat,Newlands
223,,,,2014-10-05,T20,406,GJ Maxwell,Australia,{'wickets': 6},20,2014/15,international,Australia,Pakistan,Pakistan,bat,Dubai International Cricket Stadium
224,,Pakistan v New Zealand T20I Series,,2014-12-04,T20,411,Sarfraz Ahmed,Pakistan,{'wickets': 7},20,2014/15,international,New Zealand,Pakistan,Pakistan,field,Dubai International Cricket Stadium
225,,Pakistan v New Zealand T20I Series,,2014-12-05,T20,412,AP Devcich,New Zealand,{'runs': 17},20,2014/15,international,New Zealand,Pakistan,Pakistan,field,Dubai International Cricket Stadium
226,Mirpur,,,2015-04-24,T20,416,Sabbir Rahman,Bangladesh,{'wickets': 7},20,2015,international,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium
227,Colombo,Pakistan in Sri Lanka T20I Series,,2015-07-30,T20,448,Sohail Tanvir,Pakistan,{'runs': 29},20,2015,international,Sri Lanka,Pakistan,Pakistan,bat,R Premadasa Stadium
228,Colombo,Pakistan in Sri Lanka T20I Series,,2015-08-01,T20,449,Anwar Ali,Pakistan,{'wickets': 1},20,2015,international,Sri Lanka,Pakistan,Sri Lanka,bat,R Premadasa Stadium
229,Lahore,Zimbabwe in Pakistan T20I Series,,2015-05-22,T20,417,Mukhtar Ahmed,Pakistan,{'wickets': 5},20,2015,international,Pakistan,Zimbabwe,Zimbabwe,bat,Gaddafi Stadium
230,Lahore,Zimbabwe in Pakistan T20I Series,,2015-05-24,T20,418,Mukhtar Ahmed,Pakistan,{'wickets': 2},20,2015,international,Pakistan,Zimbabwe,Zimbabwe,bat,Gaddafi Stadium
231,,Pakistan v England T20I Series,,2015-11-26,T20,468,SW Billings,England,{'runs': 14},20,2015/16,international,England,Pakistan,England,bat,Dubai International Cricket Stadium
232,,Pakistan v England T20I Series,,2015-11-27,T20,469,LE Plunkett,England,{'runs': 3},20,2015/16,international,England,Pakistan,England,bat,Dubai International Cricket Stadium
233,,Pakistan v England T20I Series,,2015-11-30,T20,473,Shoaib Malik,no result,no result,20,2015/16,international,England,Pakistan,England,bat,Sharjah Cricket Stadium
234,Manchester,,,2016-09-07,T20,566,Wahab Riaz,Pakistan,{'wickets': 9},20,2016,international,England,Pakistan,England,bat,Old Trafford
235,Auckland,Pakistan in New Zealand T20I Series,,2016-01-15,T20,478,Shahid Afridi,Pakistan,{'runs': 16},20,2015/16,international,New Zealand,Pakistan,New Zealand,field,Eden Park
236,Hamilton,Pakistan in New Zealand T20I Series,,2016-01-17,T20,480,MJ Guptill,New Zealand,{'wickets': 10},20,2015/16,international,New Zealand,Pakistan,Pakistan,bat,Seddon Park
237,Wellington,Pakistan in New Zealand T20I Series,,2016-01-22,T20,483,CJ Anderson,New Zealand,{'runs': 95},20,2015/16,international,New Zealand,Pakistan,Pakistan,field,Westpac Stadium
238,,Pakistan in Zimbabwe T20I Series,,2015-09-27,T20,454,Imad Wasim,Pakistan,{'runs': 13},20,2015/16,international,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
239,,Pakistan in Zimbabwe T20I Series,,2015-09-29,T20,455,Umar Akmal,Pakistan,{'runs': 15},20,2015/16,international,Zimbabwe,Pakistan,Pakistan,bat,Harare Sports Club
240,Kolkata,World T20,Super 10,2016-03-16,T20,536,Shahid Afridi,Pakistan,{'runs': 55},20,2015/16,international,Bangladesh,Pakistan,Pakistan,bat,Eden Gardens
241,Kolkata,World T20,Super 10,2016-03-19,T20,541,V Kohli,India,{'wickets': 6},20,2015/16,international,India,Pakistan,India,field,Eden Gardens
242,Chandigarh,World T20,Super 10,2016-03-22,T20,545,MJ Guptill,New Zealand,{'runs': 22},20,2015/16,international,New Zealand,Pakistan,New Zealand,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
243,Chandigarh,World T20,Super 10,2016-03-25,T20,548,JP Faulkner,Australia,{'runs': 21},20,2015/16,international,Australia,Pakistan,Australia,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali"
244,Mirpur,Asia Cup,,2016-02-27,T20,512,V Kohli,India,{'wickets': 5},20,2015/16,international,India,Pakistan,India,field,Shere Bangla National Stadium
245,Mirpur,Asia Cup,,2016-02-29,T20,514,Shoaib Malik,Pakistan,{'wickets': 7},20,2015/16,international,Pakistan,United Arab Emirates,United Arab Emirates,bat,Shere Bangla National Stadium
246,Mirpur,Asia Cup,,2016-03-02,T20,516,Soumya Sarkar,Bangladesh,{'wickets': 5},20,2015/16,international,Bangladesh,Pakistan,Pakistan,bat,Shere Bangla National Stadium
247,Mirpur,Asia Cup,,2016-03-04,T20,518,Umar Akmal,Pakistan,{'wickets': 6},20,2015/16,international,Pakistan,Sri Lanka,Pakistan,field,Shere Bangla National Stadium
